Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Director
Kal Ho Naa Ho,2003,U,186 min,Comedy,8,Nikkhil Advani
Pirates of the Caribbean: The Curse of the Black Pearl,2003,UA,143 min,Action,8,Gore Verbinski
Vozvrashchenie,2003,,110 min,Drama,8,Andrey Zvyagintsev
Finding Nemo,2003,U,100 min,Animation,8.1,Andrew Stanton
Kill Bill: Vol. 1,2003,R,111 min,Action,8.1,Quentin Tarantino
Munna Bhai M.B.B.S.,2003,U,156 min,Comedy,8.1,Rajkumar Hirani
Salinui chueok,2003,UA,131 min,Crime,8.1,Bong Joon Ho
Oldeuboi,2003,A,101 min,Action,8.4,Chan-wook Park
The Lord of the Rings: The Return of the King,2003,U,201 min,Action,8.9,Peter Jackson
Dead Man's Shoes,2004,,90 min,Crime,7.6,Shane Meadows
Finding Neverland,2004,U,106 min,Biography,7.6,Marc Forster
Mysterious Skin,2004,R,105 min,Drama,7.6,Gregg Araki
Saw,2004,UA,103 min,Horror,7.6,James Wan
The Butterfly Effect,2004,U,113 min,Drama,7.6,Eric Bress
Un long dimanche de fianÃ§ailles,2004,U,133 min,Drama,7.6,Jean-Pierre Jeunet
Crash,2004,UA,112 min,Crime,7.7,Paul Haggis
Kung fu,2004,UA,99 min,Action,7.7,Stephen Chow
Man on Fire,2004,UA,146 min,Action,7.7,Tony Scott
Ray,2004,A,152 min,Biography,7.7,Taylor Hackford
The Bourne Supremacy,2004,A,108 min,Action,7.7,Paul Greengrass
The Machinist,2004,R,101 min,Drama,7.7,Brad Anderson
Diarios de motocicleta,2004,U,126 min,Adventure,7.8,Walter Salles
The Notebook,2004,A,123 min,Drama,7.8,Nick Cassavetes
Veer-Zaara,2004,U,192 min,Drama,7.8,Yash Chopra
Gegen die Wand,2004,R,121 min,Drama,7.9,Fatih Akin
Harry Potter and the Prisoner of Azkaban,2004,U,142 min,Adventure,7.9,Alfonso CuarÃ³n
Les choristes,2004,PG-13,97 min,Drama,7.9,Christophe Barratier
Shaun of the Dead,2004,UA,99 min,Comedy,7.9,Edgar Wright
Bin-jip,2004,U,88 min,Crime,8,Ki-duk Kim
G.O.R.A.,2004,,127 min,Adventure,8,Ã–mer Faruk Sorak
Kill Bill: Vol. 2,2004,A,137 min,Action,8,Quentin Tarantino
The Incredibles,2004,U,115 min,Animation,8,Brad Bird
Before Sunset,2004,R,80 min,Drama,8.1,Richard Linklater
Hotel Rwanda,2004,PG-13,121 min,Biography,8.1,Terry George
Million Dollar Baby,2004,UA,132 min,Drama,8.1,Clint Eastwood
Taegukgi hwinalrimyeo,2004,R,140 min,Action,8.1,Je-kyu Kang
Der Untergang,2004,R,156 min,Biography,8.2,Oliver Hirschbiegel
Hauru no ugoku shiro,2004,U,119 min,Animation,8.2,Hayao Miyazaki
"Swades: We, the People",2004,U,210 min,Drama,8.2,Ashutosh Gowariker
Eternal Sunshine of the Spotless Mind,2004,UA,108 min,Drama,8.3,Michel Gondry
Lord of War,2005,R,122 min,Action,7.6,Andrew Niccol
Match Point,2005,R,124 min,Drama,7.6,Woody Allen
Brokeback Mountain,2005,A,134 min,Drama,7.7,Ang Lee
Harry Potter and the Goblet of Fire,2005,UA,157 min,Adventure,7.7,Mike Newell
Joyeux NoÃ«l,2005,PG-13,116 min,Drama,7.7,Christian Carion
Adams Ã¦bler,2005,R,94 min,Comedy,7.8,Anders Thomas Jensen
Pride & Prejudice,2005,PG,129 min,Drama,7.8,Joe Wright
Serenity,2005,PG-13,119 min,Action,7.8,Joss Whedon
The World's Fastest Indian,2005,U,127 min,Biography,7.8,Roger Donaldson
Walk the Line,2005,PG-13,136 min,Biography,7.8,James Mangold
